Site,Elevation,Latitude,Longitude,Plot,Species,WMass,Dmass,SA,Chlorophyll,Toughness,Height,LDMC,SLA
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.032,NA,176.666,270,4.24,0.07,NA,NA
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.063,0.015,293.899,338,3.11,0.1,23.80952381,12.343758
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.113,0.017,365.237,135,4.745,0.07,15.04424779,24.27751824
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.116,0.015,368.161,304,4.97,0.06,12.93103448,28.47111733
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.101,0.015,432.747,262,3.375,0.09,14.85148515,29.138298
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.047,0.002,230.767,260,3.915,0.1,4.255319149,54.230245
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.188,0.027,537.827,298,7.865,0.08,14.36170213,37.44869481
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.038,0.006,187.004,300,2.705,0.07,15.78947368,11.84358667
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.134,0.02,398.447,173,7.425,0.04,14.92537313,26.695949
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.041,0.006,171.226,230,4.36,0.05,14.63414634,11.70044333
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.026,NA,138.092,245,0.755,0.08,NA,NA
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.091,0.01,345.106,182,6.295,0.1,10.98901099,31.404646
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.103,0.01,449.264,361,3.68,0.2,9.708737864,46.274192
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.098,0.012,405.134,241,3.225,0.09,12.24489796,33.08594333
B,2005,-28.53,28.62,OpenGrassland,Commelina africana,0.089,0.018,304.903,228,4.515,0.07,20.2247191,15.07575944
B,2005,-28.53,28.62,UnderCanopy,Commelina africana,0.034,0.004,120.942,272,3.415,0.08,11.76470588,10.28007
D,1847,-28.5989,28.5822,OpenGrassland,Commelina africana,0.1,0.013,364.95,317,4.44,0.09,13,28.07307692
D,1847,-28.5989,28.5822,UnderCanopy,Commelina africana,0.19,0.013,703.437,344,2.89,0.05,6.842105263,102.8100231
D,1847,-28.5989,28.5822,OpenGrassland,Commelina africana,0.066,0.011,304.027,241,3.02,0.13,16.66666667,18.24162
D,1847,-28.5989,28.5822,UnderCanopy,Commelina africana,0.072,0.005,275.123,158,2.33,0.07,6.944444444,39.617712
D,1847,-28.5989,28.5822,OpenGrassland,Commelina africana,0.077,0.012,279.762,211,7.18,0.07,15.58441558,17.951395
D,1847,-28.5989,28.5822,UnderCanopy,Commelina africana,0.061,0.01,322.338,222,2.38,0.17,16.39344262,19.662618
D,1847,-28.5989,28.5822,OpenGrassland,Commelina africana,0.034,0.006,159.473,211,3.785,0.14,17.64705882,9.036803333
D,1847,-28.5989,28.5822,UnderCanopy,Commelina africana,0.079,0.011,324.727,182,3.06,0.04,13.92405063,23.32130273
D,1847,-28.5989,28.5822,OpenGrassland,Commelina africana,0.22,0.04,835.46,243,4.505,0.19,18.18181818,45.9503
D,1847,-28.5989,28.5822,UnderCanopy,Commelina africana,0.103,0.018,529.633,194,1.43,0.13,17.47572816,30.30677722
D,1847,-28.5989,28.5822,OpenGrassland,Commelina africana,0.092,0.019,377.706,300,3.31,0.21,20.65217391,18.28892211
D,1847,-28.5989,28.5822,UnderCanopy,Commelina africana,0.118,0.014,553.171,329,3.43,0.3,11.86440678,46.62441286
D,1847,-28.5989,28.5822,OpenGrassland,Commelina africana,0.141,0.02,530.896,209,4.525,0.08,14.18439716,37.428168
D,1847,-28.5989,28.5822,UnderCanopy,Commelina africana,0.128,0.016,562.76,201,2.925,0.13,12.5,45.0208
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.186,0.035,498.878,248,3.22,0.1,18.8172043,26.51180229
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.072,0.017,350.957,236,3.625,0.09,23.61111111,14.86406118
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.101,0.019,381.763,245,6.535,0.09,18.81188119,20.29371737
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.118,0.013,392.312,249,5.755,0.08,11.01694915,35.60985846
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.113,0.017,387.832,22,3.405,0.06,15.04424779,25.77942118
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.177,0.026,514.892,300,5.015,0.08,14.68926554,35.05226308
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.017,0.003,99.946,226,1.715,0.06,17.64705882,5.663606667
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.038,0.009,208.785,268,4.455,0.03,23.68421053,8.815366667
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.135,0.027,398.414,302,4.6,0.09,20,19.9207
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.336,0.045,1077.927,334,4.17,0.11,13.39285714,80.485216
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.235,0.038,812.474,156,4.67,0.05,16.17021277,50.24510263
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.095,0.015,340.977,294,3.135,0.05,15.78947368,21.59521
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.12,0.027,441.124,285,6.665,0.08,22.5,19.60551111
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.35,0.049,1060.108,338,3.57,0.12,14,75.722
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.086,0.012,319.814,194,3.47,0.09,13.95348837,22.92000333
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.088,0.012,366.636,243,2.51,0.12,13.63636364,26.88664
E,1847,-28.4921,28.6473,OpenGrassland,Commelina africana,0.073,0.017,304.435,283,3.04,0.08,23.28767123,13.07279706
E,1847,-28.4921,28.6473,UnderCanopy,Commelina africana,0.103,0.014,355.838,177,3.435,0.04,13.59223301,26.17951
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.158,0.043,463.565,393,3.875,0.12,27.21518987,17.0333186
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.084,0.003,67.974,302,1.85,0.11,3.571428571,19.03272
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.102,0.027,306.276,258,6.825,0.07,26.47058824,11.57042667
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.205,0.028,688.609,255,4.74,0.23,13.65853659,50.41601607
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.211,0.043,564.298,321,2.77,0.14,20.37914692,27.68997163
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.086,0.02,342.938,272,3.665,0.14,23.25581395,14.746334
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.058,0.002,206.201,247,2.865,0.19,3.448275862,59.79829
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.102,0.017,361.693,287,3.225,0.22,16.66666667,21.70158
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.207,0.041,546.873,338,5.62,0.08,19.80676329,27.61041732
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.146,0.015,547.853,319,3.78,0.2,10.2739726,53.32435867
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.137,0.021,367.876,266,4.655,0.07,15.32846715,23.99952952
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.081,0.009,271.88,213,6.665,0.02,11.11111111,24.4692
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.099,0.021,398.486,357,1.825,0.12,21.21212121,18.78576857
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.099,0.017,361.269,211,4.5,0.08,17.17171717,21.03860647
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.103,0.031,338.216,234,3.725,0.06,30.09708738,11.23749935
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.121,0.021,434.037,395,4.14,0.1,17.3553719,25.00879857
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.225,0.021,252.876,215,1.69,0.02,9.333333333,27.09385714
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.085,0.005,836.295,266,3.385,0.04,5.882352941,142.17015
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.133,0.018,473.169,251,4.98,0.28,13.53383459,34.96193167
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.077,0.009,320.879,264,2.74,0.32,11.68831169,27.45298111
F,2056,-28.4959,28.6526,OpenGrassland,Commelina africana,0.103,0.01,410.414,427,2.655,0.18,9.708737864,42.272642
F,2056,-28.4959,28.6526,UnderCanopy,Commelina africana,0.027,0.008,135.713,192,1.505,0.13,29.62962963,4.58031375
