Sample	Site	Plot	Species	WMass	Dmass	SA	Chlorophyll	Toughness	PHeight	Reproductive	Habitat	Theight	Circ	NN1	NN2	Pair	LDMC	SLA
B10C	B	Control	Themeda	0.062	0.026	561.644	399	4.010	0.51	N	Short	1.5	3.4	0.5	0.5	1	41.9354838709677	13.3930492307692
B10U	B	Under	Themeda	0.074	0.025	727.357	342	5.725	0.58	N	Under	1.5	3.4	0.5	0.5	1	33.7837837837838	21.5297672
B11C	B	Control	Miscanthus	0.255	0.082	1478.154	395	NA	0.97	F	Tall	1	2.4	1	1	2	32.156862745098	45.9669841463415
B11U	B	Under	Miscanthus	0.113	0.031	742.17	306	9.730	0.62	N	Under	1	2.4	1	1	2	27.4336283185841	27.0532935483871
B12C	B	Control	Commelina	0.032	NA	176.666	270	4.240	0.07	N	Short	1	2.4	1	1	3	NA	NA
B12U	B	Under	Commelina	0.063	0.015	293.899	338	3.110	0.10	N	Under	1	2.4	1	1	3	23.8095238095238	12.343758
B13C	B	Control	Helichrysum	0.003	0.001	46.59	150	NA	0.26	F	Short	1.5	NA	0.5	1	4	33.3333333333333	1.3977
B13U	B	Under	Helichrysum	0.009	NA	59.352	179	NA	0.22	F	Under	1.5	NA	0.5	1	4	NA	NA
B14C	B	Control	Pseudognath	0.018	NA	120.739	160	0.645	0.36	F	Short	1.5	1	0.5	1	5	NA	NA
B14U	B	Under	Pseudognath	0.028	0.001	142.063	291	1.075	0.69	F	Under	1.5	1	0.5	1	5	3.57142857142857	39.77764
B15C	B	Control	Commelina	0.113	0.017	365.237	135	4.745	0.07	N	Short	1.5	1	0.5	1	6	15.0442477876106	24.2775182352941
B15U	B	Under	Commelina	0.116	0.015	368.161	304	4.970	0.06	N	Under	1.5	1	0.5	1	6	12.9310344827586	28.4711173333333
B16C	B	Control	Miscanthus	0.577	0.188	2642.28	488	NA	1.02	N	Short	0.5	1	1.5	2	7	32.5823223570191	81.0955085106383
B16U	B	Under	Miscanthus	0.548	0.185	2609.599	412	NA	1.10	N	Under	0.5	1	1.5	2	7	33.7591240875912	77.3005541621622
B17C	B	Control	Tristachya	0.062	0.026	560.077	403	1.695	0.41	F	Short	1.5	2.8	0.5	1	8	41.9354838709677	13.3556823076923
B17U	B	Under	Tristachya	0.126	0.051	996.329	262	3.070	0.44	N	Under	1.5	2.8	0.5	1	8	40.4761904761905	24.6151870588235
B18C	B	Control	Commelina	0.101	0.015	432.747	262	3.375	0.09	N	Short	0.5	1	0.5	1	9	14.8514851485149	29.138298
B18U	B	Under	Commelina	0.047	0.002	230.767	260	3.915	0.10	N	Under	0.5	1	0.5	1	9	4.25531914893617	54.230245
B19C	B	Control	Themeda	0.063	0.029	573.081	427	1.490	0.45	F	Short	0.5	1	0.5	1	10	46.031746031746	12.4496906896552
B19U	B	Under	Themeda	0.112	0.048	1063.785	268	3.985	0.68	F	Under	0.5	1	0.5	1	10	42.8571428571429	24.82165
B1C	B	Control	Pseudognath	0.012	NA	76.343	154	0.570	0.39	F	Short	0.5	1.7	1	1	11	NA	NA
