Sample	Plot	Species	Habitat	SA	Chlorophyll	Toughness	PHeight	LDMC	SLA	Reproductive
D1C	Control	Pseudognath	Short	100.16	291	1.470	0.27	28	3.57714285714286	1
G25C	Control	Pseudognath	Short	100.616	203	1.020	0.26	29.4117647058824	3.420944	1
B29C	Control	Pseudognath	Short	100.632	253	1.375	0.18	25	4.02528	1
D16U	Under	Pseudognath	Under	100.678	220	1.315	0.49	19.2307692307692	5.235256	1
I9C	Control	Commelina	Short	1007.45	298	4.695	0.17	10.8614232209738	92.7548793103448	0
G29C	Control	Commelina	Short	101.39	179	1.170	0.15	3.84615384615385	26.3614	0
D16C	Control	Pseudognath	Short	101.527	232	0.960	0.17	23.5294117647059	4.3148975	1
D6C	Control	Pseudognath	Short	101.977	234	1.705	0.25	31.8181818181818	3.20499142857143	1
E36U	Under	Miscanthus	Under	1024.251	414	10.355	0.88	39.5348837209302	25.9075252941176	0
G27U	Under	Pseudognath	Under	103.627	226	1.510	0.17	47.6190476190476	2.176167	0
F34C	Control	Miscanthus	Tall	1035.204	389	11	0.93	36.9565217391304	28.0114023529412	0
B40C	Control	Miscanthus	Tall	1036.939	458	10.935	0.82	33.1578947368421	31.2727634920635	1
I10C	Control	Tristachya	Short	1042.832	418	7.015	0.52	40.7035175879397	25.6201935802469	1
I49C	Control	Pseudognath	Short	105.939	148	2.320	0.17	24	4.414125	1
D10U	Under	Pseudognath	Under	106.131	209	1.680	0.32	30.4347826086957	3.48716142857143	1
E30U	Under	Commelina	Under	1060.108	338	3.570	0.12	14	75.722	1
B19U	Under	Themeda	Under	1063.785	268	3.985	0.68	42.8571428571429	24.82165	1
I11U	Under	Miscanthus	Under	1070.007	414	11	0.93	37.2340425531915	28.7373308571429	0
E24U	Under	Commelina	Under	1077.927	334	4.170	0.11	13.3928571428571	80.485216	0
I45C	Control	Pseudognath	Short	109.079	182	0.840	0.28	28.5714285714286	3.817765	0
D5C	Control	Pseudognath	Short	109.09	177	1.895	0.33	29.4117647058824	3.70906	1
D7U	Under	Pseudognath	Under	109.229	129	0.310	0.35	NA	NA	1
E28U	Under	Miscanthus	Under	1097.067	315	11	0.97	40.8536585365854	26.8535802985075	0
D3U	Under	Pseudognath	Under	11.627	217	1.285	0.33	26.6666666666667	0.4360125	0
E32U	Under	Miscanthus	Under	1197.398	420	10.665	0.86	31.140350877193	38.451654084507	0
D6U	Under	Pseudognath	Under	111.704	249	1.315	0.30	29.4117647058824	3.797936	1
G39U	Under	Pseudognath	Under	111.828	201	0.530	0.18	19.2307692307692	5.815056	0
D44U	Under	Tristachya	Under	1114.131	433	4.860	0.32	45.8064516129032	24.3225781690141	1
E32C	Control	Miscanthus	Open	1123.312	313	9.695	0.79	37.5	29.9549866666667	0
G41U	Under	Tristachya	Under	1124.415	268	4.535	0.46	45.1127819548872	24.9245325	1
B7C	Control	Pseudognath	Short	113.135	127	0.570	0.55	21.7391304347826	5.20421	1
E48C	Control	Pseudognath	Open	113.236	194	1.235	0.16	36.8421052631579	3.07354857142857	0
D1U	Under	Pseudognath	Under	114.369	124	0.675	0.39	29.4117647058824	3.888546	1
F38U	Under	Miscanthus	Under	1142.556	367	5.000	0.84	32.0754716981132	35.6208635294118	0
D31C	Control	Helichrysum	Open	115.131	108	0.940	0.35	20	5.75655	1
I2C	Control	Themeda	Short	115.389	338	2.010	0.55	72.7272727272727	1.58659875	1
B34U	Under	Tristachya	Under	1152.632	348	6.925	0.68	31.7647058823529	36.286562962963	0
