Microsite	Type	Richness	Cover
Control	Forb	0	0
Control	Forb	5	4
Control	Forb	5	4
Control	Forb	3	21
Control	Forb	2	1
Control	Forb	3	2
Control	Forb	0	0
Control	Forb	2	1
Control	Forb	3	2
Control	Forb	5	23
Control	Forb	2	10
Control	Forb	0	0
Control	Forb	5	6
Control	Forb	4	3
Control	Forb	3	6
Control	Forb	3	2
Control	Forb	5	10
Control	Forb	3	12
Control	Forb	4	22
Control	Forb	6	6
Control	Forb	3	6
Control	Forb	2	1
Control	Forb	3	3
Control	Forb	4	4
Control	Forb	4	7
Control	Forb	5	38
Control	Forb	6	23
Control	Forb	5	12
Control	Forb	4	3
Control	Forb	4	11
Control	Forb	5	34
Control	Forb	6	5
Control	Forb	7	22
Control	Forb	5	8
Control	Forb	6	6
Control	Forb	6	32
Control	Forb	7	37
Control	Forb	6	10
Control	Forb	9	10
Control	Forb	6	6
Control	Forb	8	49
Control	Forb	7	18
Control	Forb	4	34
Control	Forb	5	13
Control	Forb	3	6
Control	Forb	7	35
Control	Forb	6	18
Control	Forb	7	38
Control	Forb	5	80
Control	Forb	8	17
Control	Forb	7	42
Control	Forb	13	46
Control	Forb	6	20
Control	Forb	8	36
Control	Forb	8	58
Control	Forb	7	30
Control	Forb	8	41
Control	Forb	12	47
Control	Forb	11	34
Control	Forb	7	27
Control	Forb	8	25
Control	Forb	5	13
Control	Forb	8	36
Control	Forb	6	29
Control	Forb	7	7
Control	Forb	6	12
Control	Forb	7	12
Control	Forb	4	15
Control	Forb	6	23
Control	Forb	9	36
Control	Forb	3	3
Control	Forb	5	19
Control	Forb	10	30
Control	Forb	7	20
Control	Forb	4	13
Control	Forb	8	35
Control	Forb	8	36
Control	Forb	8	45
Control	Forb	7	38
Control	Forb	4	28
Control	Forb	6	31
Control	Forb	9	54
Control	Forb	9	42
Control	Forb	7	43
Control	Forb	5	8
Control	Forb	6	17
Control	Forb	5	34
Control	Forb	7	25
Control	Forb	4	56
Control	Forb	6	23
Control	Forb	3	2
Control	Forb	2	1
Control	Forb	0	0
Control	Forb	0	0
Control	Forb	3	5
Control	Forb	0	0
Control	Forb	3	31
Control	Forb	4	8
Control	Forb	3	4
Control	Forb	0	0
Control	Forb	2	4
Control	Forb	4	9
Control	Forb	2	4
Control	Forb	4	11
Control	Forb	3	6
Control	Forb	7	8
Control	Forb	5	34
Control	Forb	10	14
Control	Forb	5	14
Control	Forb	3	32
Control	Forb	3	6
Control	Forb	4	9
Control	Forb	4	18
Control	Forb	4	18
Control	Forb	5	15
Control	Forb	7	10
Control	Forb	6	13
Control	Forb	5	16
Control	Forb	5	18
Control	Forb	7	10
Control	Forb	3	11
Control	Forb	4	31
Control	Forb	5	23
Control	Forb	5	6
Control	Forb	4	14
Control	Forb	5	28
Control	Forb	5	29
Control	Forb	3	26
Control	Forb	7	25
Control	Forb	6	14
Control	Forb	5	7
Control	Forb	3	8
Control	Forb	2	5
Control	Forb	6	27
Control	Forb	5	12
Control	Grass	1	20
Control	Grass	1	10
Control	Grass	1	40
Control	Grass	1	20
Control	Grass	1	15
Control	Grass	1	20
Control	Grass	1	20
Control	Grass	1	50
Control	Grass	1	90
Control	Grass	0	40
Control	Grass	1	0
