"Site" "Pair" "Wpt" "Alt" "TrHei" "Circ" "nn1" "nn2"
"1" "A" 1 "LA01" 1857 2.25 3.58 0.05 0.16
"2" "A" 2 "LA02" 1861 1.75 5.57 0 0.25
"3" "A" 3 "LA03" 1899 0.85 1.5 0.21 0.57
"4" "A" 4 "LA04" 1899 1.65 3.78 0 0.29
"5" "A" 5 "LA05" 1899 1 1.24 0 0.7
"6" "A" 6 "LA06" 1897 2 3.78 0 0.17
"7" "A" 7 "LA07" 1903 0.8 1.23 0.67 1.36
"8" "A" 8 "LA08" 1908 1.25 2.26 0 0.17
"9" "A" 9 "LA09" 1907 1.8 4.1 0 0
"10" "A" 10 "LA10" 1909 3 28.49 0 0
"11" "A" 11 "LA11" 1923 2.5 30.2 0 0
"12" "A" 12 "LA12" 1929 3.5 9.86 0 0
"13" "A" 13 "LA13" 1932 2.65 8.9 0 0
"14" "A" 14 "LA14" 1942 1 1.3 0 0
"15" "A" 15 "LA15" 1940 1.6 4.83 0 0
"16" "B" 16 "LB01" 1978 1.25 3.44 1.57 3.6
"17" "B" 17 "LB02" 2003 1.1 3.65 3.6 4.6
"18" "B" 18 "LB03" 2002 1.8 5.53 0 0
"19" "B" 19 "LB04" 2007 1.5 4.28 1.37 0
"20" "B" 20 "LB05" 2010 1.5 3.81 0.09 0.23
"21" "B" 21 "LB06" 2008 1.4 6.44 0.07 0
"22" "B" 22 "LB07" 2006 1.75 6.17 0 0.05
"23" "B" 23 "LB08" 2007 0.8 2.68 2.03 2.69
"24" "B" 24 "LB09" 2007 1 4.24 1.95 0
"25" "B" 25 "LB10" 2007 1 3.95 1.86 2.28
"26" "B" 26 "LB11" 2008 0.55 5.25 0.17 0
"27" "B" 27 "LB12" 2010 1.3 4.29 0 0
"28" "B" 28 "LB13" 2011 1.25 4.42 0.08 0.17
"29" "B" 29 "LB14" 2010 2.2 4.38 0 0.51
"30" "B" 30 "LB15" 2009 1.25 5.04 0.04 1.12
"31" "C" 31 "LC01" 1823 3 8.1 1.12 0
"32" "C" 32 "LC02" 1823 0.85 2.1 0 0.55
"33" "C" 33 "LC03" 1824 3.25 9.84 0 0
"34" "C" 34 "LC04" 1828 1.7 3.41 0 0.56
"35" "C" 35 "LC05" 1855 3.5 13.75 0 0
"36" "C" 36 "LC06" 1866 2.25 8.98 0.75 0.98
"37" "C" 37 "LC07" 1870 2 10.46 0 0.72
"38" "C" 38 "LC08" 1874 1.75 4.17 1.93 2.93
"39" "C" 39 "LC09" 1875 1.6 5.89 0 2.23
"40" "C" 40 "LC10" 1879 1.7 4.81 0 0.72
"41" "C" 41 "LC11" 1860 1.75 4.7 2.9 0.23
"42" "C" 42 "LC12" 1860 2.75 9.23 0 0.33
"43" "C" 43 "LC13" 1858 2.75 6.25 1 0.8
"44" "C" 44 "LC14" 1858 3.25 6.52 0 0
"45" "C" 45 "LC15" 1861 2.5 7.84 0 0
"46" "D" 46 "LD01" 1810 1 6.11 0.5 0.25
"47" "D" 47 "LD02" 1763 0.55 1.92 0 0
"48" "D" 48 "LD03" 1761 0.95 4.4 0 2.37
"49" "D" 49 "LD04" 1780 1 6.59 0 0
"50" "D" 50 "LD05" 1859 0.6 3.75 0 0
