Site	Pair	Wpt	Alt	TimeH	TrHei	Circ	LeuCov	ContHei	nn1	nn2	nna	TempU	STempU	SMoistU	CovU	RichU	TempC	STempC	SMoistC	CovC	RichC	TempA
A	1	LA01	1857	7	2.25	3.58	15	1	0.05	0.16	0.105	18.9	17.7	26.2	105	3	18.9	17.1	32.3	100	2	NA
A	2	LA02	1861	7.5	1.75	5.57	20	0.75	0	0.25	0.125	19	18	34.8	95	2	19.7	17.7	28	99	6	NA
A	3	LA03	1899	7.83	0.85	1.5	10	1	0.21	0.57	0.39	21	20.4	24.7	60	5	20	19.7	22.9	94	6	NA
A	4	LA04	1899	8.17	1.65	3.78	30	0.75	0	0.29	0.145	23	21.7	21.7	74	6	24.4	20	15	56	4	NA
A	5	LA05	1899	8.75	1	1.24	30	1.15	0	0.7	0.35	23.3	18.8	14.9	96	4	25.8	19.3	24.2	24	3	NA
A	6	LA06	1897	9	2	3.78	15	1	0	0.17	0.085	24	20.1	31.7	78	5	23.9	19	37.5	97	4	NA
A	7	LA07	1903	9.25	0.8	1.23	20	1.1	0.67	1.36	1.015	24.2	18.1	22.7	100	2	23.8	17.8	35.2	60	2	NA
A	8	LA08	1908	9.83	1.25	2.26	10	1	0	0.17	0.085	26.5	18.8	30.6	91	3	28.8	17.9	24.4	81	3	NA
A	9	LA09	1907	10.25	1.8	4.1	20	1	0	0	0	27.7	18.4	19.4	92	4	28	18.9	21.1	102	4	NA
A	10	LA10	1909	10.5	3	28.49	100	1	0	0	0	27.6	22.1	19.4	1	1	31	28	15.9	63	5	NA
A	11	LA11	1923	10.75	2.5	30.2	75	1.25	0	0	0	25.9	22.6	24.4	50	2	26.7	20.6	22.2	10	1	NA
A	12	LA12	1929	11	3.5	9.86	60	1.15	0	0	0	26.6	20.6	12.2	3	3	27.3	19.1	16.8	90	2	NA
A	13	LA13	1932	11.25	2.65	8.9	50	1	0	0	0	26.7	21.8	14.8	96	5	27.4	23.4	15.3	56	6	NA
A	14	LA14	1942	11.5	1	1.3	85	1.25	0	0	0	24.8	24.2	16.4	2	2	28.5	23.7	17.3	53	4	NA
A	15	LA15	1940	11.75	1.6	4.83	55	1	0	0	0	29	20.2	27	86	3	29.2	21.5	15.4	101	4	NA
B	16	LB01	1978	7	1.25	3.44	30	0.65	1.57	3.6	2.585	12.2	15.9	61.2	65	5	13.2	16.6	72.6	87	3	15.9
B	17	LB02	2003	7.67	1.1	3.65	20	0.6	3.6	4.6	4.1	21	16.8	57.6	44	11	22.3	17.2	64.4	80	6	19.2
B	18	LB03	2002	9.5	1.8	5.53	60	0.6	0	0	0	27.2	17.9	53.3	94	5	26.3	18.2	51.9	77	5	21.5
B	19	LB04	2007	10.58	1.5	4.28	50	0.5	1.37	0	0.685	26.3	18.6	49.2	42	8	29.9	24.8	40.1	64	6	24.5
B	20	LB05	2010	11	1.5	3.81	45	0.8	0.09	0.23	0.16	27.6	18.8	45.1	65	7	28.1	21.6	51.9	71	8	26.9
B	21	LB06	2008	11.5	1.4	6.44	85	0.65	0.07	0	0.035	25.2	19.1	54.8	66	10	31.3	19	50	81	5	24.5
B	22	LB07	2006	12.17	1.75	6.17	25	0.75	0	0.05	0.025	28.1	19.5	57.1	37	5	27.1	19.9	63.9	96	4	26.4
B	23	LB08	2007	12.42	0.8	2.68	10	0.7	2.03	2.69	2.36	27	24.2	53.2	45	8	31.4	19.8	54.6	82	5	26
B	24	LB09	2007	12.75	1	4.24	50	0.6	1.95	0	0.975	31.5	19.9	53.2	71	3	35.4	21.1	51.7	79	5	31.8
B	25	LB10	2007	13.08	1	3.95	65	0.75	1.86	2.28	2.07	32.6	22.6	61	101	7	29.7	23.3	53.6	87	6	28.4
B	26	LB11	2008	13.67	0.55	5.25	90	0.6	0.17	0	0.085	28.3	25.3	38	32	7	28.8	27	57.3	75	7	28.4
B	27	LB12	2010	13.92	1.3	4.29	15	0.65	0	0	0	27.9	20.1	51.5	53	7	28.1	20.7	58.4	75	8	27.8
B	28	LB13	2011	14.5	1.25	4.42	50	0.7	0.08	0.17	0.125	27.3	21.6	47.3	45	3	29.6	23.5	59.7	109	7	23.5
B	29	LB14	2010	14.75	2.2	4.38	25	1.2	0	0.51	0.255	26	27	54.8	46	4	26	21.3	49.2	153	5	25.5
B	30	LB15	2009	15	1.25	5.04	75	0.55	0.04	1.12	0.58	25.4	18.7	48.3	92	7	26.7	20.1	55.3	81	6	25.2
C	31	LC01	1823	8.17	3	8.1	100	0.3	1.12	0	0.56	26.2	22	20.9	27	4	24.2	18.8	20.5	37	7	21
C	32	LC02	1823	10	0.85	2.1	45	0.3	0	0.55	0.275	24.8	28.6	21.9	78	11	29.3	28.4	20.9	35	8	27.4
C	33	LC03	1824	10.83	3.25	9.84	55	0.75	0	0	0	25.8	20.2	26.3	22	4	30.1	27.8	24	64	9	23.5
C	34	LC04	1828	11.17	1.7	3.41	50	0.55	0	0.56	0.28	28.3	23.4	24	97	7	34.5	24	27	18	5	26.7
C	35	LC05	1855	11.67	3.5	13.75	100	0.5	0	0	0	26.2	20	29.5	39	5	32.8	31.1	28	27	8	28.2
C	36	LC06	1866	12.17	2.25	8.98	100	0.3	0.75	0.98	0.865	20	26.2	19	18	5	27.7	28.1	28.6	58	8	27.2
C	37	LC07	1870	12.42	2	10.46	100	0.5	0	0.72	0.36	26.7	19.6	26.8	3	2	29.6	27.1	25.1	72	8	28.5
C	38	LC08	1874	13	1.75	4.17	70	0.35	1.93	2.93	2.43	26.6	20.9	27	106	10	30.4	30.5	28.9	52	10	28.2
C	39	LC09	1875	13.33	1.6	5.89	95	0.6	0	2.23	1.115	27	21	21.1	121	8	29.1	25.8	24.9	86	11	29.6
C	40	LC10	1879	13.83	1.7	4.81	95	0.5	0	0.72	0.36	29.9	22.7	26.9	56	7	27.8	29.3	26.6	60	10	29.2
C	41	LC11	1860	14.5	1.75	4.7	100	0.25	2.9	0.23	1.565	31.3	13.3	24.8	15	2	28.8	31.1	27.4	81	9	25.7
C	42	LC12	1860	14.75	2.75	9.23	100	0.3	0	0.33	0.165	30.4	22.9	28	97	6	30.2	33.7	24.2	36	8	29.8
C	43	LC13	1858	15	2.75	6.25	65	0.6	1	0.8	0.9	28.4	19.2	24.7	85	4	34	23	19.9	129	5	30.6
C	44	LC14	1858	15.25	3.25	6.52	85	1.2	0	0	0	29.6	22.1	34	85	8	30.5	22	33.3	123	6	30.2
C	45	LC15	1861	15.58	2.5	7.84	100	0.5	0	0	0	29.4	25	27.4	39	5	30.1	30.6	27	106	5	27.5
D	46	LD01	1810	9.17	1	6.11	95	0.32	0.5	0.25	0.375	15.5	16.7	42	80	8	14	19.4	37.8	64	9	12.2
D	47	LD02	1763	10	0.55	1.92	75	0.5	0	0	0	15.9	18.3	45.3	60	10	17.2	13.2	37.8	75	9	15.9
D	48	LD03	1761	10.5	0.95	4.4	100	0.45	0	2.37	1.185	18	21.2	35.8	82	8	19.9	23.4	40.9	65	9	13.7
D	49	LD04	1780	11.17	1	6.59	50	0.8	0	0	0	19.3	24.3	40.1	63	11	21.3	29.6	29.7	104	8	15.3
D	50	LD05	1859	11.67	0.6	3.75	30	0.5	0	0	0	19.9	20.6	38.2	71	12	17.8	27.7	38.4	57	10	16.5
