"Site" "Pair" "Microsite" "Type" "Richness" "Cover"
"1" "A" 1 "Control" "Forb" 0 0
"2" "A" 2 "Control" "Forb" 5 4
"3" "A" 3 "Control" "Forb" 5 4
"4" "A" 4 "Control" "Forb" 3 21
"5" "A" 5 "Control" "Forb" 2 1
"6" "A" 6 "Control" "Forb" 3 2
"7" "A" 7 "Control" "Forb" 0 0
"8" "A" 8 "Control" "Forb" 2 1
"9" "A" 9 "Control" "Forb" 3 2
"10" "A" 10 "Control" "Forb" 5 23
"11" "A" 11 "Control" "Forb" 2 10
"12" "A" 12 "Control" "Forb" 0 0
"13" "A" 13 "Control" "Forb" 5 6
"14" "A" 14 "Control" "Forb" 4 3
"15" "A" 15 "Control" "Forb" 3 6
"16" "B" 16 "Control" "Forb" 3 2
"17" "B" 17 "Control" "Forb" 5 10
"18" "B" 18 "Control" "Forb" 3 12
"19" "B" 19 "Control" "Forb" 4 22
"20" "B" 20 "Control" "Forb" 6 6
"21" "B" 21 "Control" "Forb" 3 6
"22" "B" 22 "Control" "Forb" 2 1
"23" "B" 23 "Control" "Forb" 3 3
"24" "B" 24 "Control" "Forb" 4 4
"25" "B" 25 "Control" "Forb" 4 7
"26" "B" 26 "Control" "Forb" 5 38
"27" "B" 27 "Control" "Forb" 6 23
"28" "B" 28 "Control" "Forb" 5 12
"29" "B" 29 "Control" "Forb" 4 3
"30" "B" 30 "Control" "Forb" 4 11
"31" "C" 31 "Control" "Forb" 5 34
"32" "C" 32 "Control" "Forb" 6 5
"33" "C" 33 "Control" "Forb" 7 22
"34" "C" 34 "Control" "Forb" 5 8
"35" "C" 35 "Control" "Forb" 6 6
"36" "C" 36 "Control" "Forb" 6 32
"37" "C" 37 "Control" "Forb" 7 37
"38" "C" 38 "Control" "Forb" 6 10
"39" "C" 39 "Control" "Forb" 9 10
"40" "C" 40 "Control" "Forb" 6 6
"41" "C" 41 "Control" "Forb" 8 49
"42" "C" 42 "Control" "Forb" 7 18
"43" "C" 43 "Control" "Forb" 4 34
"44" "C" 44 "Control" "Forb" 5 13
"45" "C" 45 "Control" "Forb" 3 6
"46" "D" 46 "Control" "Forb" 7 35
"47" "D" 47 "Control" "Forb" 6 18
"48" "D" 48 "Control" "Forb" 7 38
"49" "D" 49 "Control" "Forb" 5 80
"50" "D" 50 "Control" "Forb" 8 17
"51" "D" 51 "Control" "Forb" 7 42
"52" "D" 52 "Control" "Forb" 13 46
"53" "D" 53 "Control" "Forb" 6 20
"54" "D" 54 "Control" "Forb" 8 36
"55" "D" 55 "Control" "Forb" 8 58
"56" "D" 56 "Control" "Forb" 7 30
"57" "D" 57 "Control" "Forb" 8 41
"58" "D" 58 "Control" "Forb" 12 47
"59" "D" 59 "Control" "Forb" 11 34
"60" "D" 60 "Control" "Forb" 7 27
"61" "E" 61 "Control" "Forb" 8 25
"62" "E" 62 "Control" "Forb" 5 13
"63" "E" 63 "Control" "Forb" 8 36
"64" "E" 64 "Control" "Forb" 6 29
"65" "E" 65 "Control" "Forb" 7 7
"66" "E" 66 "Control" "Forb" 6 12
"67" "E" 67 "Control" "Forb" 7 12
"68" "E" 68 "Control" "Forb" 4 15
"69" "E" 69 "Control" "Forb" 6 23
"70" "E" 70 "Control" "Forb" 9 36
"71" "E" 71 "Control" "Forb" 3 3
"72" "E" 72 "Control" "Forb" 5 19
"73" "E" 73 "Control" "Forb" 10 30
"74" "E" 74 "Control" "Forb" 7 20
"75" "E" 75 "Control" "Forb" 4 13
"76" "F" 76 "Control" "Forb" 8 35
"77" "F" 77 "Control" "Forb" 8 36
"78" "F" 78 "Control" "Forb" 8 45
"79" "F" 79 "Control" "Forb" 7 38
"80" "F" 80 "Control" "Forb" 4 28
"81" "F" 81 "Control" "Forb" 6 31
"82" "F" 82 "Control" "Forb" 9 54
"83" "F" 83 "Control" "Forb" 9 42
"84" "F" 84 "Control" "Forb" 7 43
"85" "F" 85 "Control" "Forb" 5 8
"86" "F" 86 "Control" "Forb" 6 17
"87" "F" 87 "Control" "Forb" 5 34
"88" "F" 88 "Control" "Forb" 7 25
"89" "F" 89 "Control" "Forb" 4 56
"90" "F" 90 "Control" "Forb" 6 23
"91" "G" 91 "Control" "Forb" 3 2
"92" "G" 92 "Control" "Forb" 2 1
"93" "G" 93 "Control" "Forb" 0 0
"94" "G" 94 "Control" "Forb" 0 0
"95" "G" 95 "Control" "Forb" 3 5
"96" "G" 96 "Control" "Forb" 0 0
"97" "G" 97 "Control" "Forb" 3 31
"98" "G" 98 "Control" "Forb" 4 8
"99" "G" 99 "Control" "Forb" 3 4
"100" "G" 100 "Control" "Forb" 0 0
"101" "G" 101 "Control" "Forb" 2 4
"102" "G" 102 "Control" "Forb" 4 9
"103" "G" 103 "Control" "Forb" 2 4
"104" "G" 104 "Control" "Forb" 4 11
"105" "G" 105 "Control" "Forb" 3 6
"106" "H" 106 "Control" "Forb" 7 8
"107" "H" 107 "Control" "Forb" 5 34
"108" "H" 108 "Control" "Forb" 10 14
"109" "H" 109 "Control" "Forb" 5 14
"110" "H" 110 "Control" "Forb" 3 32
"111" "H" 111 "Control" "Forb" 3 6
"112" "H" 112 "Control" "Forb" 4 9
"113" "H" 113 "Control" "Forb" 4 18
"114" "H" 114 "Control" "Forb" 4 18
"115" "H" 115 "Control" "Forb" 5 15
"116" "H" 116 "Control" "Forb" 7 10
"117" "H" 117 "Control" "Forb" 6 13
"118" "H" 118 "Control" "Forb" 5 16
"119" "H" 119 "Control" "Forb" 5 18
"120" "H" 120 "Control" "Forb" 7 10
"121" "I" 121 "Control" "Forb" 3 11
"122" "I" 122 "Control" "Forb" 4 31
"123" "I" 123 "Control" "Forb" 5 23
"124" "I" 124 "Control" "Forb" 5 6
"125" "I" 125 "Control" "Forb" 4 14
"126" "I" 126 "Control" "Forb" 5 28
"127" "I" 127 "Control" "Forb" 5 29
"128" "I" 128 "Control" "Forb" 3 26
"129" "I" 129 "Control" "Forb" 7 25
"130" "I" 130 "Control" "Forb" 6 14
"131" "I" 131 "Control" "Forb" 5 7
"132" "I" 132 "Control" "Forb" 3 8
"133" "I" 133 "Control" "Forb" 2 5
"134" "I" 134 "Control" "Forb" 6 27
"135" "I" 135 "Control" "Forb" 5 12
"136" "A" 1 "Control" "Grass" 1 20
"137" "A" 2 "Control" "Grass" 1 10
"138" "A" 3 "Control" "Grass" 1 40
"139" "A" 4 "Control" "Grass" 1 20
"140" "A" 5 "Control" "Grass" 1 15
"141" "A" 6 "Control" "Grass" 1 20
"142" "A" 7 "Control" "Grass" 1 20
"143" "A" 8 "Control" "Grass" 1 50
"144" "A" 9 "Control" "Grass" 1 90
