Plot	Site	Ajuga_ophrydis	Anogramma_leptophylla	Anthospermum_sp.	Aristea_cognata	Aristea_sp._1	Artemisia_afra	Barleria_gueiazii	Bidens_bipinnata	Burkheya_rhapontica	Centella_asiatica	Cheylanthus_sp.	Clutia_pulchella	Commelina_africana	Conyza_bonariensis	Conyza_podocephala	Cryptolepis_transvaalensis	Cyanoglossum_austroafricanum	Cyanoglossum_sp.1	Diclis_rotundifolia	Diospyros_scabrida	Erica_woodii	Eriosema_salignum	Eriospermum_sp.	Euphorbia_epicyparissias	Felicia_muricata	Galium_capense	Gladiolus_sp.1	Helichrysum_aurionitens	Helichrysum_c.f_gymnocomum	Helichrysum_cephaloideum	Helichrysum_glomeratum	Helichrysum_herbaceum	Helichrysum_nudifolium	Helichrysum_odoratissimum	Helichrysum_pilosellum	Helichrysum_sp.1	Helichrysum_sp.2	Hermannia_auricoma	Hermannia_coccocarpa	Hypoxis_sp.1	Hypoxis_sp.2	Hypoxis_sp.3	Hypoxis_sp.4	Hypoxis_sp.5	Indigofera_sp.	Ipomea_sp.	Kauhautia_amatymbica	Lactuca_tysonii	Leucosidea_sercia	Limeum_viscosum	Lobelia_angolensis	Lobelia_flaccida	Monopsis_decipiens	Morpho_sp._10	Morpho_sp._12	Morpho_sp._15	Morpho_sp._17	Morpho_sp._2	Morpho_sp._21	Morpho_sp._22	Morpho_sp._26	Morpho_sp._28	Morpho_sp._29	Morpho_sp._3	Morpho_sp._33	Morpho_sp._34	Morpho_sp._39	Morpho_sp._41	Morpho_sp._43	Morpho_sp._46	Morpho_sp._49	Morpho_sp._50	Morpho_sp._52	Morpho_sp._53	Morpho_sp._54	Morpho_sp._56	Morpho_sp._6	Morpho_sp._62	Morpho_sp._64	Morpho_sp._65	Morpho_sp._67	Morpho_sp._69	Morpho_sp._75	Morpho_sp._77	Morpho_sp._81	Morpho_sp._87	Morpho_sp._90	Morpho_sp.84	Myosotis_semiamplexicaulis	Nemesia_fruticans	Oenothera_rosea	Oenothera_tetraptera	Oxalis_obliquifolia	Pelargonium_luridum	Polygala_gerradii	Polygala_hottenttota	Polygala_ohlendorfiana	Rosa_sp.	Rubus_ludwigii	Rumex_c.f._dregeanus	Rumex_woodii	Rynchosia_c.f._cooperi	Schistotephium	Searsia_3	Searsia_dentata	Searsia_pyroides	Sedge_1	Sedge_2	Sedge_3	Sedge_4	Sedge_5	Sedge_6	Seedling	Selago_sp.	Senecio_discodregeanus	Senecio_isatideus	Senecio_sp._1	Senecio_venosus	Silene_undulata	Solanum_sp.	Sonchus_dregeanus	Taraxacum_officinale	Trifolium_burchellianum	Vernonia_natalensis	Wahlenbergia_cuspiditata	Xysmalobium_involucratum	Andropogon_appendiculatus	Andropogon_schirensis	Aristida_adscensionis	Aristida_junciformes	Brachiaria_serrata	Cymbopogon_pospischilii	Dead	Digitaria_monodactyla	Elionurus_muticus	Eragrostis_capensis	Eragrostis_chloromelas	Eragrostis_curvula	Eragrostis_lehmanniana	Eragrostis_plana	Eragrostis_purple	Eragrostis_trichophora	Harpochloa_flax	Helictotrichon_turgidulum	Heteropogon_contortus	Hyparrhenia_tamba	Loudetia_simplex	Miscanthus_capensis	Setaria_sphacelata	Themeda_triandra	Tristachya_leucothrix
A1C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
A2C	A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
A3C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0
A4C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
A5C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
A6C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
A7C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
A8C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
A9C	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0
A10C	A	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0
