"","Spp","Control","Under","Chi2","df","p"
"1","Ajuga_ophrydis",117,117,"0","1","1"
"2","Commelina_africana",65,75,"1.2016","1","0.273"
"3","Conyza_podocephala",120,123,"0.1646","1","0.6849"
"4","Helichrysum_aurionitens",101,116,"4.6013","1","0.0319"
"5","Helichrysum_cephaloideum",116,91,"11.9255","1","6e-04"
"6","Helichrysum_nudifolium",118,117,"0","1","1"
"7","Helichrysum_odoratissimum",105,97,"0.9632","1","0.3264"
"8","Oenothera_tetraptera",123,120,"0.1646","1","0.6849"
"9","Oxalis_obliquifolia",92,92,"0","1","1"
"10","Sedge_1",90,87,"0.0656","1","0.7978"
"11","Aristida_junciformes",116,124,"1.8375","1","0.1752"
"12","Eragrostis_lehmanniana",119,120,"0","1","1"
"13","Miscanthus_capensis",79,80,"0","1","1"
"14","Themeda_triandra",65,70,"0.237","1","0.6264"
"15","Tristachya_leucothrix",106,110,"0.2083","1","0.6481"
